team_id,position,goals_actual,assists_actual,yellow_cards_actual,red_cards_actual,minutes_actual,starting_eleven_actual,substituted_in_actual,on_bench_actual,suspended_actual,injured_actual,absence_actual,number_of_matches_actual,minutes_predicted,yellow_cards_predicted,red_cards_predicted,starting_eleven_predicted,substituted_in_predicted,on_bench_predicted,suspended_predicted,injured_predicted,absence_predicted,number_of_matches_predicted,goals_predicted,assists_predicted,minutes_error,yellow_cards_error,red_cards_error,goals_error,assists_error,starting_eleven_error,substituted_in_error,on_bench_error,suspended_error,injured_error,absence_error,number_of_matches_error
3588,Midfield,0.0,1.0,1.0,0.0,872.0,8.0,7.0,17.0,0.0,0.0,0.0,4,1253,2,0,13,5,9,0,0,0,4,2.0,1.0,-381.0,-1.0,0.0,-2.0,0.0,-5.0,2.0,8.0,0.0,0.0,0.0,0
3436,Attack,0.0,1.0,1.0,0.0,739.0,8.0,11.0,13.0,0.0,0.0,0.0,4,1449,2,0,15,8,10,0,0,0,5,4.0,3.0,-710.0,-1.0,0.0,-4.0,-2.0,-7.0,3.0,3.0,0.0,0.0,0.0,-1
3436,Defense,0.0,1.0,4.0,0.0,1791.0,20.0,4.0,12.0,0.0,0.0,0.0,4,1798,4,0,19,3,13,0,1,0,5,1.0,2.0,-7.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-1
3436,Goalkeeper,,,0.0,0.0,360.0,4.0,0.0,8.0,0.0,0.0,0.0,4,382,0,0,4,0,8,0,0,0,5,,,-22.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
3436,Midfield,2.0,0.0,3.0,0.0,1070.0,12.0,5.0,5.0,1.0,0.0,0.0,4,1278,3,0,14,3,9,0,0,0,5,1.0,1.0,-208.0,0.0,0.0,1.0,-1.0,-2.0,2.0,-4.0,1.0,0.0,0.0,-1
3438,Attack,1.0,0.0,3.0,0.0,944.0,9.0,8.0,4.0,0.0,0.0,0.0,3,1336,2,0,14,8,8,0,0,0,5,5.0,3.0,-392.0,1.0,0.0,-4.0,-3.0,-5.0,0.0,-4.0,0.0,0.0,0.0,-2
3438,Defense,0.0,0.0,3.0,0.0,1009.0,12.0,2.0,10.0,0.0,0.0,0.0,3,1457,4,0,16,3,10,0,0,0,5,1.0,1.0,-448.0,-1.0,0.0,-1.0,-1.0,-4.0,-1.0,0.0,0.0,0.0,0.0,-2
3438,Goalkeeper,,,0.0,0.0,270.0,3.0,0.0,6.0,0.0,0.0,0.0,3,399,0,0,4,0,8,0,0,0,5,,,-129.0,0.0,0.0,,,-1.0,0.0,-2.0,0.0,0.0,0.0,-2
3438,Midfield,0.0,1.0,2.0,0.0,747.0,9.0,5.0,9.0,0.0,1.0,0.0,3,1393,3,0,15,4,9,0,0,0,5,2.0,2.0,-646.0,-1.0,0.0,-2.0,-1.0,-6.0,1.0,0.0,0.0,1.0,0.0,-2
3299,Attack,5.0,2.0,5.0,0.0,2000.0,21.0,9.0,19.0,0.0,0.0,0.0,7,1781,2,0,19,9,12,0,0,0,5,5.0,3.0,219.0,3.0,0.0,0.0,-1.0,2.0,0.0,7.0,0.0,0.0,0.0,2
3299,Defense,0.0,1.0,5.0,0.0,2808.0,30.0,6.0,25.0,1.0,0.0,0.0,7,1847,4,0,20,3,15,0,0,0,5,2.0,2.0,961.0,1.0,0.0,-2.0,-1.0,10.0,3.0,10.0,1.0,0.0,0.0,2
3299,Goalkeeper,,,0.0,0.0,690.0,7.0,0.0,14.0,0.0,0.0,0.0,7,414,0,0,4,0,8,0,0,0,5,,,276.0,0.0,0.0,,,3.0,0.0,6.0,0.0,0.0,0.0,2
3299,Midfield,3.0,3.0,4.0,0.0,2094.0,19.0,14.0,16.0,0.0,0.0,0.0,7,1753,3,0,19,8,12,0,0,0,5,4.0,3.0,341.0,1.0,0.0,-1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,2
3442,Attack,3.0,1.0,2.0,0.0,454.0,4.0,6.0,8.0,0.0,0.0,0.0,3,961,1,0,10,6,8,0,0,0,4,3.0,1.0,-507.0,1.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-1
3442,Defense,0.0,0.0,1.0,0.0,810.0,9.0,1.0,11.0,0.0,0.0,0.0,3,1436,3,0,15,3,10,0,0,0,4,1.0,1.0,-626.0,-2.0,0.0,-1.0,-1.0,-6.0,-2.0,1.0,0.0,0.0,0.0,-1
3442,Goalkeeper,,,1.0,0.0,270.0,3.0,0.0,6.0,0.0,0.0,0.0,3,407,0,0,4,0,8,0,0,0,4,,,-137.0,1.0,0.0,,,-1.0,0.0,-2.0,0.0,0.0,0.0,-1
3442,Midfield,0.0,1.0,3.0,0.0,1436.0,17.0,5.0,8.0,0.0,0.0,0.0,3,1625,4,0,18,7,12,0,0,0,4,2.0,2.0,-189.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,-4.0,0.0,0.0,0.0,-1
3379,Attack,7.0,3.0,2.0,0.0,1406.0,16.0,11.0,14.0,0.0,1.0,0.0,6,1341,2,0,15,8,9,0,0,0,5,4.0,3.0,65.0,0.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,1
3379,Defense,1.0,2.0,3.0,0.0,1813.0,20.0,8.0,25.0,0.0,0.0,0.0,6,1753,3,0,19,6,14,0,0,0,5,2.0,2.0,60.0,0.0,0.0,-1.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,1
3379,Goalkeeper,,,0.0,0.0,540.0,6.0,0.0,12.0,0.0,0.0,0.0,6,394,0,0,4,0,8,0,0,0,5,,,146.0,0.0,0.0,,,2.0,0.0,4.0,0.0,0.0,0.0,1
